8.7531,1.4543,0,2.2817,0,0,0,34.6497,1
8.8007,1.4194,0,2.2607,0,0,0,34.7055,1
8.8482,1.3854,0,2.24,0,0,0,34.7603,1
8.8958,1.3522,0,2.2194,0,0,0,34.8141,1
8.9434,1.3197,0,2.199,0,0,0,34.8669,1
8.991,1.3645,0,2.1788,0,0,0,34.9195,1
9.0386,1.4817,0,2.1588,0,0,0,34.9738,1
9.0862,1.5962,0,2.1391,0,0,0,35.0308,1
9.1338,1.6947,0,2.1196,0,0,0,35.0905,1
9.1793,1.7907,0,2.1012,0,0,0,35.1493,1
9.2248,1.8845,0,2.083,0,0,0,35.2101,1
9.2702,1.9761,0,2.065,0,0,0,35.2728,1
9.3157,2.0656,0,2.0473,0,0,0,35.3375,1
9.543,2.4332,0,1.9612,0,0,0,35.6833,1
9.7703,2.8741,0,1.88,0,0,0,36.0731,1
9.9976,3.5219,0,1.8035,0,0,0,36.5204,1
10.225,4.2422,0,1.732,0,0,0,37.0398,1
10.3167,4.4965,0,1.7044,0,0,0,37.2719,1
10.4085,4.7392,0,1.6776,0,0,0,37.5148,1
10.5003,4.9707,0,1.6515,0,0,0,37.7682,1
10.592,5.1917,0,1.6261,0,0,0,38.0314,1
10.6838,5.4026,0,1.6014,0,0,0,38.3041,1
10.7755,5.6038,0,1.5773,0,0,0,38.5858,1
10.8673,5.7959,0,1.5538,0,0,0,38.8761,1
10.9591,5.9791,0,1.5309,0,0,0,39.1746,1
10.9803,6.0026,0,1.5256,0,0,0,39.2447,1
11.0015,6.0655,0,1.5204,0,0,0,39.3152,1
11.0228,6.2152,0,1.5153,0,0,0,39.3868,1
11.044,6.4121,0,1.5102,0,0,0,39.4602,1
11.0652,6.5965,0,1.5052,0,0,0,39.5356,1
11.0865,6.7788,0,1.5002,0,0,0,39.613,1
11.1077,6.9592,0,1.4953,0,0,0,39.6923,1
11.1289,7.1377,0,1.4905,0,0,0,39.7735,1
11.1592,7.3887,0,1.4837,0,0,0,39.8923,1
