0,67.75355405,68.52794547,11.45216353
0.9,68.65030058,67.26493115,11.30783853
5.866666667,73.35761943,63.57127989,11.34053624
11.08333333,77.43666265,59.21447419,11.85337758
21.78333333,87.09265265,50.23112929,11.61595198
27.35,91.80304971,45.37335726,12.05257414
33.3,97.01292041,40.55299953,12.10484753
45.38333333,105.0078345,29.87222895,12.06418841
57.88333333,113.1362393,18.77558376,12.23854227
69.71666667,118.5913968,7.369936378,12.39762628
75.46666667,120.0822232,1.68656993,12.5472082
76.5,121.8839886,0.621014847,12.45782449
